Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
GDE3,ZDT3,6,HV,1.0414173360476513
GDE3,ZDT3,22,Time,9.577691078186035
GDE3,ZDT3,16,Time,9.552320718765259
GDE3,ZDT3,4,GD,0.0010872593060401623
GDE3,ZDT3,4,EP,0.006065406427021219
GDE3,ZDT3,4,HV,1.0414962437283681
GDE3,ZDT3,16,GD,0.0008761393911348225
GDE3,ZDT3,16,EP,0.006189781743098588
GDE3,ZDT3,16,HV,1.0412723662286847
GDE3,ZDT3,18,Time,9.555622339248657
GDE3,ZDT3,13,GD,0.0012425350247328173
GDE3,ZDT3,13,EP,0.006642049177693704
GDE3,ZDT3,13,HV,1.0413680277950086
GDE3,ZDT3,0,GD,0.0011303423767152
GDE3,ZDT3,0,EP,0.006739392755469198
GDE3,ZDT3,0,HV,1.0414989531530023
GDE3,ZDT3,21,Time,9.603414535522461
GDE3,ZDT3,8,GD,0.0012730021731399966
GDE3,ZDT3,8,EP,0.007045260333814002
GDE3,ZDT3,8,HV,1.0410302127707411
GDE3,ZDT3,23,Time,9.529972791671753
GDE3,ZDT3,20,GD,0.0009715591411098656
GDE3,ZDT3,20,EP,0.007770815430023448
GDE3,ZDT3,20,HV,1.0412999176820976
GDE3,ZDT3,7,GD,0.0009787755529813821
GDE3,ZDT3,7,EP,0.006965791687262413
GDE3,ZDT3,7,HV,1.041430235499979
GDE3,ZDT3,2,GD,0.0010597879754100986
GDE3,ZDT3,2,EP,0.006307671500330202
GDE3,ZDT3,2,HV,1.0412890113416577
GDE3,ZDT3,4,Time,9.701390743255615
GDE3,ZDT3,12,GD,0.0011854543890040658
GDE3,ZDT3,12,EP,0.006489697275272519
GDE3,ZDT3,12,HV,1.0412567656729679
GDE3,ZDT3,18,GD,0.0011196001115574656
GDE3,ZDT3,18,EP,0.00908172266217059
GDE3,ZDT3,18,HV,1.0413196535531213
GDE3,ZDT3,7,Time,9.784058332443237
GDE3,ZDT3,24,Time,9.589951276779175
GDE3,ZDT3,21,GD,0.0010693249677186075
GDE3,ZDT3,21,EP,0.009938347308216806
GDE3,ZDT3,21,HV,1.0410018321764845
GDE3,ZDT3,11,Time,9.651342391967773
GDE3,ZDT3,10,GD,0.0010936566132230799
GDE3,ZDT3,10,EP,0.007686199685032369
GDE3,ZDT3,10,HV,1.0412966092312104
GDE3,ZDT3,10,Time,9.657411098480225
GDE3,ZDT2,5,GD,0.0004608714068162023
GDE3,ZDT2,5,EP,0.011429966925986856
GDE3,ZDT2,5,HV,0.32789829325693975
GDE3,ZDT2,6,Time,9.741315603256226
GDE3,ZDT2,17,GD,0.0004542957497906699
GDE3,ZDT2,17,EP,0.010459081435038986
GDE3,ZDT2,17,HV,0.32771145804853186
GDE3,ZDT2,9,GD,0.0005036183827789286
GDE3,ZDT2,9,EP,0.012051528474350648
GDE3,ZDT2,9,HV,0.32738591917583376
GDE3,ZDT2,14,Time,9.539722681045532
GDE3,ZDT2,14,GD,0.0005424293627847448
GDE3,ZDT2,14,EP,0.011935627831084289
GDE3,ZDT2,14,HV,0.32729816572561177
GDE3,ZDT2,0,Time,9.745256662368774
GDE3,ZDT2,3,GD,0.0005188263787588855
GDE3,ZDT2,3,EP,0.011845497590506793
GDE3,ZDT2,3,HV,0.3276736815195523
GDE3,ZDT2,8,Time,9.824312925338745
GDE3,ZDT2,9,Time,9.590057611465454
GDE3,ZDT2,15,Time,9.551824808120728
GDE3,ZDT2,23,GD,0.00047111995339129553
GDE3,ZDT2,23,EP,0.009665685290425885
GDE3,ZDT2,23,HV,0.32780455796482827
GDE3,ZDT2,19,Time,9.502267360687256
GDE3,ZDT2,1,GD,0.0005121815142736325
GDE3,ZDT2,1,EP,0.009517149630566268
GDE3,ZDT2,1,HV,0.3276520801012739
GDE3,ZDT2,20,Time,9.472625970840454
GDE3,ZDT2,17,Time,9.509945631027222
